id,name,link,model,valoration,valorations,price,shippingCosts,seller,date
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1098.99,5.99,TechPoint1111,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1511.67,0,ComputerPirates ES,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,820.0,17.65,Wild Product,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,897.0,0,Maxdari,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1206.18,0,Amazon UK,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,972.64,11.7,x-targets,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1031.99,5.99,TechPoint1111,27/10/2021 17:57:49
B096Y2TYKV,Gigabyte Technology GV-N3060GAMING OC-12GD V2 GeForce RTX 3060 Gaming OC 12G NVIDIA 12 GB GDDR6,https://www.amazon.es/Gigabyte-Technology-GV-N3060GAMING-OC-12GD-V2/dp/B096Y2TYKV/ref=sr_1_2,rtx 3060,4.8,19,973.17,4.95,Compsaonline S.L.,27/10/2021 17:57:55
B096Y2TYKV,Gigabyte Technology GV-N3060GAMING OC-12GD V2 GeForce RTX 3060 Gaming OC 12G NVIDIA 12 GB GDDR6,https://www.amazon.es/Gigabyte-Technology-GV-N3060GAMING-OC-12GD-V2/dp/B096Y2TYKV/ref=sr_1_2,rtx 3060,4.8,19,942.63,0,CreativeTech1,27/10/2021 17:57:55
B096Y2TYKV,Gigabyte Technology GV-N3060GAMING OC-12GD V2 GeForce RTX 3060 Gaming OC 12G NVIDIA 12 GB GDDR6,https://www.amazon.es/Gigabyte-Technology-GV-N3060GAMING-OC-12GD-V2/dp/B096Y2TYKV/ref=sr_1_2,rtx 3060,4.8,19,1188.1,24.38,TRIPPODO EU,27/10/2021 17:57:55
